bank_ticker,bank_name,cik,period,period_end,deposits_to_assets,loans_to_deposits,interest_expense_to_deposits_annualized,deposit_interest_expense_to_deposits_annualized,net_income_to_assets_annualized,noninterest_expense_to_assets_annualized,noninterest_income_to_assets_annualized,equity_to_assets,roa_annualized,roe_annualized,net_interest_margin_proxy,loan_yield_annualized,efficiency_ratio,tier_1_capital_ratio,data_type,period_sort
JPM,JPMORGAN CHASE & CO,0000019617,2021Q3,2021-09-30,0.6393358377847846,0.427274842623045,0.002331047935086975,0.00020979431415782775,0.01244099919735489,0.018163837537816932,0.017635837571881446,0.07718832566526931,0.01244099919735489,0.16117721287680017,0.013923870069427738,0.05642666822541441,0.5755388403548419,,real_public_sec_edgar_ratio,20213
JPM,JPMORGAN CHASE & CO,0000019617,2021Q4,2021-12-31,0.6577424686134908,0.43103062458194624,0.002303534536570032,0.0002063109211173442,,0.019113321599426428,0.01672843039806687,0.07856864856432381,,,0.014532663633374266,0.05660455580178795,0.6114092353966573,,real_public_sec_edgar_ratio,20214
JPM,JPMORGAN CHASE & CO,0000019617,2022Q1,2022-03-31,0.6476383592430957,0.4123419153547527,0.0025363041722125546,0.0002842409848169242,0.008376895567209238,0.019410891430851545,0.017038010846370397,0.07229371123428985,0.008376895567209238,0.1158730880485766,0.014030946064758095,0.05869180081678413,0.6247680437542729,,real_public_sec_edgar_ratio,20221
JPM,JPMORGAN CHASE & CO,0000019617,2022Q2,2022-06-30,0.6434110827701146,0.4395653081636418,0.0056936069113072635,0.0014533425259675734,0.009006293159059634,0.019523527626223735,0.01623090432076107,0.07449091638954795,0.009006293159059634,0.12090458267369812,0.015752942873193912,0.06865211408268555,0.610418362363666,,real_public_sec_edgar_ratio,20222
JPM,JPMORGAN CHASE & CO,0000019617,2022Q3,2022-09-30,0.6382323887008716,0.45438893305904016,0.013440089013810842,0.0052461684411996105,0.010320402004937088,0.020327068876520846,0.01610860323210782,0.07631872097817527,0.010320402004937088,0.13522765938239972,0.018567608331363655,0.09360335073023113,0.5861963565228023,,real_public_sec_edgar_ratio,20223
JPM,JPMORGAN CHASE & CO,0000019617,2022Q4,2022-12-31,0.6383914529741992,0.4768528390349627,0.021984643055082537,0.009987270204544183,,0.020756501478690677,0.01566394589036929,0.07974699808469933,,,0.022033186723673756,0.11848150541122535,0.5506122094537876,,real_public_sec_edgar_ratio,20224
JPM,JPMORGAN CHASE & CO,0000019617,2023Q1,2023-03-31,0.6348983322672699,0.46643878459718,0.027414835526551024,0.012850125754389626,0.013483944283385034,0.02148008775994477,0.018842482116173762,0.08094479482841276,0.013483944283385034,0.16658198111402195,0.022125334341085996,0.13348688678198808,0.5243161490521265,,real_public_sec_edgar_ratio,20231
JPM,JPMORGAN CHASE & CO,0000019617,2023Q2,2023-06-30,0.620168862324985,0.5327675052793667,0.03312265888330036,0.015991916503887933,0.014964945298120076,0.021531239013091227,0.020193162782040412,0.08079023018220173,0.014964945298120076,0.18523211611565488,0.022520836349347508,0.13033208172513808,0.5040792117558768,,real_public_sec_edgar_ratio,20232
JPM,JPMORGAN CHASE & CO,0000019617,2023Q3,2023-09-30,0.6103957768615457,0.5413317610313987,0.036696384069768516,0.01814815219501699,0.013493972936637276,0.02232441405082634,0.01759521313340856,0.08141197788901051,0.013493972936637276,0.16574923354685842,0.02331868519184995,0.13836053203406845,0.5456437779003862,,real_public_sec_edgar_ratio,20233
JPM,JPMORGAN CHASE & CO,0000019617,2023Q4,2023-12-31,0.6194695608935662,0.5420471131608938,0.03887718853928541,0.019980938797544704,,0.025273307765173753,0.014989963598530524,0.08460509682501878,,,0.024824321043052922,0.14565283880714924,0.6347799035619848,,real_public_sec_edgar_ratio,20234
